age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
433,15.0,79.0,69.0,159.0,144.0,46.0,40.0
434,13.0,77.0,68.0,162.0,149.0,43.0,37.0
435,13.0,72.0,63.0,151.0,137.0,43.0,37.0
436,14.0,74.0,64.0,148.0,134.0,44.0,37.0
437,14.0,75.0,65.0,147.0,133.0,45.0,38.0
438,17.0,82.0,70.0,157.0,140.0,49.0,40.0
439,17.0,72.0,61.0,135.0,120.0,45.0,36.0
440,15.0,73.0,62.0,134.0,121.0,45.0,36.0
441,13.0,56.0,46.0,112.0,100.0,38.0,30.0
442,15.0,57.0,47.0,116.0,104.0,37.0,30.0
443,21.0,66.0,54.0,142.0,126.0,38.0,31.0
444,16.0,46.0,39.0,90.0,77.0,25.0,22.0
445,21.0,58.0,47.0,116.0,98.0,30.0,26.0
446,22.0,62.0,52.0,133.0,114.0,33.0,29.0
447,19.0,53.0,45.0,122.0,105.0,29.0,25.0
